,Username,sentiment
421,JordanWicks17,
422,JoseBertran4,
423,JoyceYa75165306,
424,Juan70115051,
425,JuanCar01073921,
426,JuanPab83087509,
427,JuanPrades,
428,Juansebasrg,
429,JuliedeSade,
430,JustSwell2,
431,Justin_satoshi,
432,Jyothi_Raghava_,
433,KS_Financieros,
434,KUNAL__18,
435,Kacem_adda,
436,KamalaCherif,
437,KangzGaveMePTSD,
438,Kapilgor22,
439,Karaballet1225,
440,Katie982733571,
441,Katten114514,
442,Kavmhdi,
443,Kavyamahesh005,
444,KelliBelli__,
445,Kelly268991,
446,KendimexNotlar,
447,KendrickDenetr1,
448,Kevin38711184,
449,Kevin67118512,
450,KhabbabQari,
451,Kimberl93459015,
452,KingKiller2164,
453,KirkLugo,
454,KishuinuMeta,
455,Kivindu_heshan,
456,Kkadam28,
457,Kleriston18,
458,Klown3021020,
459,KlukowskiPaul,
460,KosenRoom_WK,
461,KostyaKobzev,
462,Kou15604779,
463,KrisBandle,
464,Krishna83101351,
465,KrishnaBhupal1,
466,Kubanczuk,
467,KumarSukuna,
468,KuroBrandon,
469,KylieAn65914540,
470,L4Caocf5MCZCCx8,
471,L5Vanessa,
472,LANGELALFONSO,
473,LASTSSJ,
474,LBulgach,
475,LBxALBIN,
476,LaAuto1991,
477,Lahirud22861527,
478,Lakhkarkhan0,
479,LasithLakmal,
480,LauraPo97336045,
481,LavandulaFF7,
482,Lavo0c0,
483,Legndarygamer15,
484,LeikSav,
485,Leila22hh,
486,LemuelTaylor11,
487,LeoTorres222,
488,Leoac2023,
489,LeonardoCMesqu1,
490,LesaffreElena,
491,LilBrown283,
492,LilTune92382031,
493,LilianRassi,
494,LizSalgadoM,
495,LlomiNomo,
496,Luby93061667,
497,LucaCalmera,
498,LuciaAnaMari,
499,Lucy23006616,
500,LudiePredovic,
501,Luis11293859,
502,LuisCor70733478,
503,Luis_Medina05,
504,LuizButzke4,
505,LuizC_Carvalho,
506,Luke_Kaminski,
507,LuminousDon,
508,Lundic,
509,LxunThn77425683,
510,LynelleMostrom,
511,LyzField,
512,MDNAHIDHASANS98,
513,MDSidDu15,
514,MGhouaidia,
515,MM63226660,
516,MNMarkAZ,
517,MNamithgowda,
518,MRX4Z,
519,MTSDiaz05,
520,MUHSINHUSSEIN17,
521,MWBaig2,
522,MachindraNikha1,
523,MachucaW,
524,MadrugaSosa,
525,MahabadiAhmad,
526,Majid02_,
527,MaliPhanthu,
528,Mamfuni71Duncan,
529,Manas1387,
530,MarcenioD,
531,Marcos90120945,
532,MarcosCoelhoRo1,
533,Marie51222564,
534,MarieCarringt22,
535,MarieFi66212030,
536,MarkMuteti6,
537,Mark_don21,
538,MartaAvelar12,
539,Maru_29122,
540,MarwaKhalil258,
541,MashalSediqi4,
542,MatteoGarofolo,
543,Maty_Almeyda,
544,Max3539394994,
545,MaximumFun420,
546,May2991944660,
547,Mayank7895,
548,Mbomstic,
549,McClever_,
550,MdShaki70217585,
551,MeghrajTomar,
552,MehrzadGoli,
553,Mehtaba909,
554,MejiavAldair,
555,Merman13Moisty,
556,Metalbionix,
557,Michael17260722,
558,Michael66406688,
559,Miguel154351491,
560,MiguelFelguere1,
561,MiguelJ95249764,
562,MikulasHabala,
563,Mills15Paco,
564,MinTheinKyaw001,
565,MiraFaran2,
566,MirrorOfTimes,
567,Mishio0523,
568,Mituldodiya0,
569,Mmath101,
570,Mo81850177,
571,Mohamed71270330,
572,MohamedAgour1,
573,Mohamma29721234,
574,Mohammad_pg19,
575,Mohamme65392071,
576,Mohamme97699682,
577,Mohd__Yasar,
578,Mohsen85A,
579,Mohtang82714662,
580,Moises09048093,
581,Momnt12,
582,Moscoag2,
583,Mostafa78814392,
584,MotaNtkmom,
585,MrAkshay_1111,
586,Mr__Chann,
587,Mr_wajish,
588,Mralechenu,
589,Mrcheese88,
590,MrfbaX,
591,Muhammad_Fahimm,
592,MukeshR127,
593,MunirNotepad,
594,MurthyNukala,
595,MyShekhar,
596,N1no16122843,
597,NAKATOJOVIA,
598,NFT_Kuske_Goa,
599,NLIN66888,
600,NNevanjith,
601,NacThxng,
602,Nacos031,
603,Nadeem1448601,
604,NaiyaNelson_,
605,NajuTana,
606,Nang_Shwe_Zin,
607,Nanshuka97,
608,NautiStitches,
609,Naveed_Shah_Jee,
610,Naveen29186959,
611,Naveen_netha1,
612,NavinKu00412350,
613,NdproNatalpanzo,
614,NellieA0913,
615,NelliusBrown,
616,NestorHRadio,
617,NicholasSok1,
618,Nick76895438,
619,Nicolas52294519,
620,NicolasOsorio13,
621,Nila_IX,
622,Ninjashype_,
623,Noelle_Kris,
624,Nomikitrikilis3,
625,NonNon26758521,
626,Nour59899020,
627,Nt3Utkarsh,
628,NullUsxr,
629,Nusret_Y,
630,Nutkondeez,
631,OPPoWAc0leYBn0u,
632,OTO46672237,
633,OceanUnicorns,
634,Ochocinco75,
635,Odol84476554,
636,OficinaAjf,
637,OkayImNotCupid1,
638,OkohJamin,
639,Olantheanswer,
